2019-04-11 23:09:29 INFO - Client request 30 requesting room T101 on day 6, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 45 requesting room T101 on day 5, timeslot 10-11, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 44 requesting room L221 on day 1, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 43 requesting room T101 on day 1, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 42 requesting room T101 on day 6, timeslot 1-2, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 41 requesting room XG14 on day 1, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 40 requesting room XG14 on day 6, timeslot 10-11, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 39 requesting room L221 on day 2, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 38 requesting room XG14 on day 4, timeslot 10-11, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 37 requesting room CG04 on day 3, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 36 requesting room XG14 on day 2, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 26 requesting room L221 on day 5, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 47 requesting room CG04 on day 5, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 35 requesting room L221 on day 1, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 29 requesting room L221 on day 4, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 34 requesting room XG14 on day 5, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 28 requesting room T101 on day 2, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 24 requesting room L221 on day 2, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 25 requesting room XG14 on day 4, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 33 requesting room T101 on day 4, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 32 requesting room CG04 on day 4, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 31 requesting room CG04 on day 5, timeslot 1-2, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 23 requesting room T101 on day 5, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 27 requesting room CG04 on day 5, timeslot 1-2, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 49 requesting room L221 on day 5, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 48 requesting room XG14 on day 4, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 46 requesting room T101 on day 5, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 56 requesting room XG14 on day 6, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 52 requesting room T101 on day 4, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 55 requesting room T101 on day 6, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 53 requesting room T101 on day 2, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 54 requesting room T101 on day 5, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 51 requesting room CG04 on day 1, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 58 requesting room L221 on day 1, timeslot 9-10, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 50 requesting room CG04 on day 1, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 59 requesting room CG04 on day 5, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 57 requesting room T101 on day 5, timeslot 11-12, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 60 requesting room T101 on day 5, timeslot 1-2, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 61 requesting room CG04 on day 2, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 62 requesting room T101 on day 3, timeslot 10-11, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 63 requesting room L221 on day 3, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 64 requesting room T101 on day 6, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 65 requesting room XG14 on day 2, timeslot 10-11, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 66 requesting room CG04 on day 5, timeslot 10-11, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 67 requesting room L221 on day 3, timeslot 10-11, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 68 requesting room CG04 on day 6, timeslot 10-11, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 69 requesting room CG04 on day 5, timeslot 1-2, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 70 requesting room T101 on day 3, timeslot 12-1, at 1 seconds 
2019-04-11 23:09:29 INFO - Client request 71 requesting room L221 on day 3, timeslot 10-11, at 1 seconds 
