2019-04-11 15:05:16 INFO - Client request 21 requesting room L221 on day 0, timeslot 11-12, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 23 requesting room L221 on day 0, timeslot 12-1, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 22 requesting room L221 on day 0, timeslot 12-1, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 24 requesting room L221 on day 0, timeslot 10-11, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 26 requesting room L221 on day 0, timeslot 9-10, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 20 requesting room L221 on day 0, timeslot 12-1, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 25 requesting room L221 on day 0, timeslot 12-1, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 27 requesting room L221 on day 0, timeslot 12-1, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 29 requesting room L221 on day 0, timeslot 12-1, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 28 requesting room L221 on day 0, timeslot 12-1, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 30 requesting room L221 on day 0, timeslot 9-10, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 31 requesting room L221 on day 0, timeslot 11-12, at 1 seconds 
2019-04-11 15:05:16 INFO - Client request 32 requesting room L221 on day 0, timeslot 11-12, at 1 seconds 
2019-04-11 15:05:17 INFO - Client request 33 requesting room L221 on day 0, timeslot 10-11, at 2 seconds 
2019-04-11 15:05:17 INFO - Client request 34 requesting room L221 on day 0, timeslot 11-12, at 2 seconds 
2019-04-11 15:05:17 INFO - Client request 35 requesting room L221 on day 0, timeslot 9-10, at 2 seconds 
2019-04-11 15:05:17 INFO - Client request 36 requesting room L221 on day 0, timeslot 9-10, at 2 seconds 
2019-04-11 15:05:17 INFO - Client request 37 requesting room L221 on day 0, timeslot 12-1, at 2 seconds 
2019-04-11 15:05:17 INFO - Client request 38 requesting room L221 on day 0, timeslot 9-10, at 2 seconds 
2019-04-11 15:05:17 INFO - Client request 39 requesting room L221 on day 0, timeslot 10-11, at 2 seconds 
2019-04-11 15:05:17 INFO - Client request 40 requesting room L221 on day 0, timeslot 11-12, at 2 seconds 
2019-04-11 15:05:18 INFO - Client request 41 requesting room L221 on day 0, timeslot 12-1, at 3 seconds 
2019-04-11 15:05:18 INFO - Client request 42 requesting room L221 on day 0, timeslot 12-1, at 3 seconds 
2019-04-11 15:05:18 INFO - Client request 43 requesting room L221 on day 0, timeslot 9-10, at 3 seconds 
2019-04-11 15:05:18 INFO - Client request 44 requesting room L221 on day 0, timeslot 11-12, at 3 seconds 
2019-04-11 15:05:18 INFO - Client request 45 requesting room L221 on day 0, timeslot 11-12, at 3 seconds 
2019-04-11 15:05:18 INFO - Client request 46 requesting room L221 on day 0, timeslot 9-10, at 3 seconds 
2019-04-11 15:05:18 INFO - Client request 47 requesting room L221 on day 0, timeslot 9-10, at 3 seconds 
2019-04-11 15:05:18 INFO - Client request 48 requesting room L221 on day 0, timeslot 11-12, at 3 seconds 
2019-04-11 15:05:19 INFO - Client request 44 requesting room L221 on day 0, timeslot 12-1, at 4 seconds 
2019-04-11 15:05:19 INFO - Client request 50 requesting room L221 on day 0, timeslot 12-1, at 4 seconds 
2019-04-11 15:05:19 INFO - Client request 51 requesting room L221 on day 0, timeslot 9-10, at 4 seconds 
