2019-04-12 12:35:50 INFO - Client request 21 requesting room XG14 on day 3, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 22 requesting room CG04 on day 6, timeslot 12-1, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 23 requesting room XG14 on day 3, timeslot 1-2, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 24 requesting room XG14 on day 2, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 25 requesting room XG14 on day 3, timeslot 9-10, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 26 requesting room XG14 on day 1, timeslot 12-1, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 27 requesting room CG04 on day 1, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 28 requesting room CG04 on day 1, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 29 requesting room T101 on day 3, timeslot 1-2, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 31 requesting room L221 on day 3, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 30 requesting room L221 on day 5, timeslot 12-1, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 32 requesting room XG14 on day 4, timeslot 9-10, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 35 requesting room L221 on day 4, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 34 requesting room CG04 on day 4, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 33 requesting room XG14 on day 4, timeslot 1-2, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 37 requesting room CG04 on day 3, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 36 requesting room T101 on day 5, timeslot 12-1, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 40 requesting room L221 on day 6, timeslot 9-10, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 39 requesting room T101 on day 6, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 38 requesting room XG14 on day 4, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 41 requesting room L221 on day 3, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 42 requesting room CG04 on day 2, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 43 requesting room XG14 on day 3, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 45 requesting room L221 on day 3, timeslot 12-1, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 44 requesting room CG04 on day 2, timeslot 9-10, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 46 requesting room XG14 on day 3, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 47 requesting room CG04 on day 6, timeslot 1-2, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 48 requesting room L221 on day 2, timeslot 9-10, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 49 requesting room T101 on day 2, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 50 requesting room XG14 on day 2, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 51 requesting room XG14 on day 1, timeslot 1-2, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 52 requesting room XG14 on day 5, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 24 requesting room L221 on day 4, timeslot 9-10, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 53 requesting room XG14 on day 2, timeslot 12-1, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 54 requesting room L221 on day 1, timeslot 12-1, at 1 seconds 
